File,Method,Precision,Recall,FSIM,PFOM
109034,Prewitt,0.117857142857143,0.163289349670123,0.821242960081281,0.180345792635297
109034,Roberts,0.0950093408059781,0.0774249673771205,0.849328065399003,0.123610627510571
109034,Sobel,0.116493262834726,0.160253402158611,0.817875675652492,0.177709983943578
109034,Susan,0.107254231455793,0.961534753687458,0.371109433604064,0.046530723122583
109034,Musan,0.103810027243525,0.946373409118992,0.29103852672304,0.0527028978312562
112082,Laplacian of Gaussian,0.162389735364876,0.570767062613247,0.597772096718985,0.181313767677114
112082,Prewitt,0.265978746342215,0.293607616456987,0.806487000021908,0.26166740407001
112082,Roberts,0.296745993200583,0.208283620248849,0.836206961220227,0.226525014747412
112082,Sobel,0.260981132075472,0.296824034334764,0.800289598965632,0.264314156217734
112082,Susan,0.149497010844682,0.924146854277859,0.478084784340177,0.0742324440544068
